날짜,PM10,SO2,CO,O3,NO2
2013-07-06,40.333,0.009,0.442,0.009,0.026
2013-07-07,33.292,0.011,0.425,0.007,0.024
2013-07-10,35.958,0.003,0.413,0.007,0.015
2013-07-11,37,0.003,0.4,0.007,0.014
2013-07-12,42.667,0.003,0.371,0.007,0.008
2013-07-13,38.5,0.003,0.388,0.007,0.008
2013-07-15,36.583,0.003,0.396,0.007,0.01
2013-07-16,34.125,0.003,0.383,0.007,0.009
2013-07-17,29.458,0.003,0.354,0.007,0.011
2013-07-18,37.208,0.005,0.462,0.007,0.022
2013-07-20,32.417,0.004,0.363,0.007,0.014
2013-07-21,30.833,0.003,0.333,0.006,0.011
2013-07-23,40.167,0.003,0.396,0.011,0.016
2013-07-24,57,0.004,0.454,0.011,0.023
2013-07-25,90.417,0.005,0.771,0.015,0.041
2013-07-26,108.625,0.006,0.888,0.015,0.046
2013-07-27,80.417,0.005,0.683,0.017,0.045
2013-07-28,68.458,0.004,0.517,0.016,0.026
2013-07-29,71.792,0.004,0.592,0.016,0.033
2013-07-31,71.167,0.005,0.492,0.016,0.027
2013-08-01,64.833,0.008,0.517,0.013,0.018
2013-08-02,65.25,0.009,0.571,0.013,0.031
2013-08-03,49.75,0.006,0.438,0.014,0.023
2013-08-04,45.667,0.005,0.417,0.017,0.026
2013-08-05,52.667,0.006,0.588,0.018,0.036
2013-08-07,70.917,0.005,0.487,0.02,0.027
2013-08-08,65.292,0.005,0.508,0.016,0.019
2013-08-09,73.375,0.006,0.583,0.018,0.024
2013-08-10,89.833,0.007,0.629,0.019,0.024
2013-08-11,85,0.009,0.65,0.018,0.012
2013-08-13,57.458,0.01,0.6,0.012,0.025
2013-08-14,51.833,0.008,0.521,0.013,0.026
2013-08-15,44.042,0.007,0.446,0.013,0.019
2013-08-16,40.125,0.008,0.483,0.011,0.023
2013-08-27,65.792,0.008,0.588,0.028,0.041
2013-08-28,87.542,0.007,0.629,0.026,0.037
2013-08-29,55.083,0.004,0.429,0.022,0.013
2013-08-31,62.458,0.005,0.554,0.013,0.024
2013-09-01,36.667,0.005,0.388,0.02,0.017
2013-09-02,37.75,0.005,0.462,0.018,0.021
2013-09-04,44.125,0.005,0.467,0.017,0.02
2013-09-05,39.833,0.006,0.454,0.017,0.021
2013-09-06,31.5,0.004,0.392,0.018,0.017
2013-09-07,33.208,0.004,0.408,0.019,0.017
2013-09-08,46.75,0.005,0.487,0.015,0.023
2013-09-09,51.125,0.005,0.475,0.015,0.023
2013-09-12,67.417,0.006,0.592,0.013,0.021
2013-09-13,66.25,0.006,0.567,0.009,0.01
2013-09-14,57.542,0.006,0.467,0.007,0.008
2013-09-15,51.417,0.006,0.454,0.015,0.018
2013-09-16,49.75,0.005,0.429,0.02,0.023
2013-09-18,35.542,0.007,0.429,0.018,0.024
2013-09-19,45.208,0.005,0.404,0.026,0.016
2013-09-20,50.208,0.006,0.425,0.022,0.021
2013-09-21,77.458,0.008,0.638,0.019,0.029
2013-09-22,66.792,0.005,0.429,0.025,0.015
2013-09-24,62.417,0.008,0.496,0.012,0.023
2013-09-25,46.542,0.005,0.433,0.015,0.017
2013-09-26,38.208,0.005,0.396,0.02,0.025
2013-09-27,36,0.006,0.404,0.017,0.03
2013-09-28,42.625,0.006,0.442,0.022,0.031
2013-09-29,50.625,0.008,0.438,0.014,0.018
2013-09-30,42.833,0.009,0.454,0.012,0.03
2013-10-01,45.833,0.01,0.458,0.019,0.033
2013-10-02,48.667,0.008,0.442,0.02,0.029
2013-10-03,54.708,0.008,0.438,0.024,0.027
2013-10-05,36.875,0.006,0.371,0.025,0.02
2013-10-06,37.167,0.004,0.35,0.019,0.013
2013-10-07,49.542,0.005,0.421,0.015,0.013
2013-10-08,33.333,0.004,0.35,0.019,0.011
2013-10-11,83.208,0.007,0.462,0.024,0.024
2013-10-12,40.625,0.006,0.388,0.022,0.031
